Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Gross_Spend,Revenue,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Baseline_Year,Target_Year,Target_Reduction_Percentage,Interim_Target_Reduction_Percentage,Industry_Baseline_Year,Industry_Target_Year,Industry_Reduction_Percentage,Industry_Emission_Factor,Spend_Based_Emission_Factor,Revenue_Based_Emission_Intensity
SUP-0003,Electronics Supplier 003,Electronics,2021,,32913953.29,5492.7382,1023.7935,884.2648,3516.2967,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2022,11905233.58,30820303.57,,1605.351,708.3299,3977.8499,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2023,,43015996.27,,591.5886,747.3334,,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0003,Electronics Supplier 003,Electronics,2024,14433482.87,41008991.04,6408.6921,597.869,724.7649,,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0004,Agriculture Supplier 004,Agriculture,2015,,46660515.83,7407.7346,1546.9278,1238.3659,4704.4192,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2016,7140247.37,,,1137.1114,,,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2017,6650789.17,45579518.54,5838.9102,583.7569,1044.4864,,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2018,6558376.45,47649354.82,,,,4382.5535,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2019,6141646.97,51678348.0,5526.4852,1324.9754,1160.3154,2860.3629,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2020,6139946.56,,,537.0582,492.9686,2952.5369,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2021,5534260.62,44754305.44,,569.1272,,3224.559,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2022,5878059.93,40178921.02,4623.9622,1127.1784,495.0129,3108.5048,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2023,4932034.1,30436787.05,4390.6953,1005.0444,841.4374,2418.4452,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0004,Agriculture Supplier 004,Agriculture,2024,5955769.2,37921597.27,3720.5628,416.9159,451.7582,3151.0702,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913
SUP-0005,Professional Supplier 005,Professional Services,2015,9305308.89,31837165.56,1369.0155,203.6157,102.6865,1023.4625,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2016,11516447.87,,,372.5678,210.7603,858.9834,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2017,9516989.07,37201051.87,1494.2746,281.7161,150.9093,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2018,11596085.91,,1315.6871,395.829,198.9226,773.9908,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2019,10111383.74,46195221.1,,,,757.7592,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2020,12305006.02,50936116.2,1559.415,320.2702,298.305,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2021,12116695.13,45714673.5,1159.0675,129.4754,83.4592,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2022,13225867.99,38694230.11,,420.1288,308.3373,1007.5881,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2023,10271439.72,54529520.37,1076.3994,176.5674,,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0005,Professional Supplier 005,Professional Services,2024,13635020.82,57675629.87,1266.1984,155.835,82.3667,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0006,Agriculture Supplier 006,Agriculture,2015,23303777.47,165931875.98,,3775.0429,,13537.9233,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2016,21612182.6,156938286.98,,4985.5951,,10193.4602,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2017,20262544.64,165383768.62,18020.1668,3961.5909,2310.4793,10711.5691,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2018,18306317.88,137287450.4,,,1027.6309,,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2019,20199464.39,168215398.68,,2028.6103,2177.3343,,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2020,20751330.16,122215064.98,14680.7946,2074.8816,1875.4654,,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2021,,124125605.64,12452.4094,2126.4122,1969.5347,,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2022,19728289.82,167014581.44,17434.3103,4349.6432,1432.7962,11609.2755,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2023,15888272.73,131177654.8,13082.6638,1543.4487,,10883.2029,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0006,Agriculture Supplier 006,Agriculture,2024,16986081.37,,12271.2118,1665.9707,2684.8791,7593.9697,,,,,2018,,,529.8294,0.00091413,0.00096913
SUP-0007,Chemicals Supplier 007,Chemicals,2015,13536750.73,112807632.84,7016.2181,1113.4689,661.6248,5383.7638,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2016,13052345.59,116763288.93,9947.7818,1697.9466,946.0271,7358.1591,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2017,,143853591.56,7925.9302,1230.939,497.4265,5997.284,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2018,13188765.95,108359036.59,8283.4475,1867.9103,1806.448,4625.1408,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2019,13922501.66,127994072.57,,2079.899,1767.4425,4642.4885,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2020,13870797.66,121857320.04,9553.6944,946.9778,1218.107,7277.3379,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2021,13106960.56,115380051.67,,1463.0324,934.515,,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2022,13255925.8,83734559.75,7858.7419,1792.2614,801.0444,5149.5934,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2023,13594572.55,124433110.8,,1055.3321,,,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0007,Chemicals Supplier 007,Chemicals,2024,13812841.6,123886547.06,6696.6134,1664.6513,1142.706,,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124
SUP-0008,Electronics Supplier 008,Electronics,2015,3782223.73,11758675.33,4234.703,490.959,676.8933,2816.9898,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2016,3801622.34,10202037.79,3588.9609,606.3379,262.5714,3029.0103,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2017,,13553870.16,4478.0967,762.1002,599.7962,,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2018,3476179.36,11337144.22,3383.0948,374.6158,720.3084,2354.8173,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2019,3476458.19,10375922.86,3623.6743,456.0279,370.0373,,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2020,4446147.63,15037685.63,3890.7677,995.0698,690.0402,2121.48,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2021,4495128.34,,3405.8349,424.2206,,,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2022,4373673.35,12345363.16,4167.4076,730.1894,,,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2023,3916477.11,8816162.29,,611.3185,439.9423,2700.2903,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0008,Electronics Supplier 008,Electronics,2024,,13053571.69,3292.5056,425.3445,213.5756,2732.5965,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0009,Professional Supplier 009,Professional Services,2015,24776350.54,32201566.49,,521.326,427.5766,1657.6,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2016,23758134.24,35844584.02,4255.4701,482.6913,557.5871,2846.4294,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2017,23196858.01,33570242.17,2701.2809,559.6794,324.2734,1797.4528,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2018,,39759348.71,3745.867,398.2531,322.0091,3056.2788,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2019,35207077.02,32102692.02,4760.4401,,629.0584,3548.8928,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2020,37602611.08,49935560.02,,1247.8186,559.2795,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2021,35665704.28,57179614.73,4646.8409,,999.3069,2939.1592,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2022,42290241.88,49528531.02,3909.5303,,773.93,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2023,47292024.59,58804939.13,5670.6263,1190.4245,,3640.2184,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0009,Professional Supplier 009,Professional Services,2024,52537789.25,67311812.73,4325.7647,,780.5117,,,,,,2020,,,400.0326,0.00012906,0.00019658
SUP-0010,Packaging Supplier 010,Packaging,2015,1016489.03,2186171.93,936.6947,139.2539,105.9001,664.7074,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2016,1193538.1,2247959.7,1276.2001,,221.7209,,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2017,1044103.95,2154422.64,979.1795,165.5201,66.4815,773.4256,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2018,1149037.69,2143940.82,1197.5142,166.7751,170.1263,,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2019,1261577.84,2293653.8,,114.6407,167.2639,825.1528,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2020,1204677.36,2404871.91,1055.2041,,,690.3007,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2021,1053342.84,2034680.5,845.036,225.9767,,558.7769,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2022,1112700.54,2741371.97,,154.1106,79.5401,906.259,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2023,1215430.28,2621916.4,1180.296,,209.6126,,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0010,Packaging Supplier 010,Packaging,2024,1024486.81,2139138.22,929.0374,202.7525,178.1147,,2018.0,2035.0,0.3963,0.1482,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0011,Agriculture Supplier 011,Agriculture,2015,5742541.72,8827281.17,5934.0913,826.0,611.0082,4364.2621,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2016,5698381.6,,8137.4689,,1757.5639,4137.1948,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2017,6191105.14,11482602.88,8153.7818,2275.7324,,4598.9745,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2018,6743188.4,10987073.44,9657.4404,,,,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2019,6839527.49,11474758.89,10923.4372,1880.1531,2316.3739,6282.7467,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2020,,,10221.962,1342.1262,1122.1598,,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2021,9146253.69,15456764.63,12987.4338,1180.3418,,,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2022,7926747.22,16552013.65,8800.5546,1082.3628,1278.0482,6256.9625,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2023,7844614.16,16475753.12,8433.68,1035.9329,1492.2528,5347.6585,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0011,Agriculture Supplier 011,Agriculture,2024,9452299.33,14891854.76,8620.5301,1962.8937,1129.2387,,2020.0,2040.0,0.3477,0.1695,2018,,,529.8294,0.00091413,0.00096913
SUP-0012,Textiles Supplier 012,Textiles,2015,12755603.16,85723631.56,4123.5761,1083.9685,772.8661,2394.8733,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2016,15036852.25,97991047.3,,565.1797,437.1589,3916.3631,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2017,16461200.92,,,1329.9478,782.9113,3278.6661,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2018,15745411.34,95606198.35,,818.748,602.0672,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2019,17676816.06,101802937.2,5113.7407,,1037.5974,2537.6023,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2020,18314476.63,107547512.87,5688.8645,871.9072,585.1143,4509.7481,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2021,21259121.5,112600574.26,6175.6183,1090.1274,,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2022,19310565.95,120678385.15,,1133.4453,,3908.0454,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2023,22133374.76,149565312.35,5896.3152,1179.8604,447.9093,3884.8524,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0012,Textiles Supplier 012,Textiles,2024,21655788.06,146539952.95,,892.7094,,2640.714,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0013,Electronics Supplier 013,Electronics,2015,22727279.79,138917336.37,17475.0503,2305.3172,1266.6728,13714.8623,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2016,24397343.52,192541453.76,20692.9304,4927.8185,3428.9517,10529.797,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2017,27829305.82,177626319.91,,3642.5105,2644.2438,15375.6436,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2018,26287428.87,198106564.7,19455.3513,4602.4367,3388.2695,11647.5877,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2019,27699049.87,236727032.3,17649.4627,5039.8998,3688.8885,9211.9621,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2020,32125016.43,337002204.35,18213.1839,3803.8618,,11266.8246,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2021,33222763.87,243869479.68,16294.4446,3917.3069,1358.7424,11391.8242,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2022,39622690.59,298953714.55,24849.3803,,4413.0366,16588.2356,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2023,39983436.04,373195319.42,,5573.1601,3597.0055,16861.7229,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0013,Electronics Supplier 013,Electronics,2024,44154429.98,373405405.33,,,3136.7134,17552.63,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947
SUP-0014,Textiles Supplier 014,Textiles,2015,15607124.3,72880870.98,8453.9382,,1198.7544,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2016,18962308.62,,7287.5983,1869.0545,1225.5986,3964.5536,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2017,15482074.3,80713457.01,6589.2584,749.3383,1278.4341,4493.8045,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2018,17400779.8,96172377.88,5472.1674,714.2181,526.0691,4287.0807,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2019,17606408.77,95681510.05,6737.1463,1074.574,916.1774,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2020,16608847.12,89333852.99,5333.2155,829.0312,736.0807,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2021,18790235.58,112676775.71,6911.219,1414.4591,1614.3547,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2022,20964971.39,100602315.56,,1290.4898,1149.5572,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2023,19785770.5,94951710.11,,970.9787,929.2206,3074.0431,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0014,Textiles Supplier 014,Textiles,2024,16888486.43,86249629.91,3472.4816,406.9801,645.8626,,,,,,2019,2030.0,0.3171,401.7335,0.00029221,0.00017343
SUP-0015,Packaging Supplier 015,Packaging,2015,21637068.33,94818936.43,24987.7933,3231.7945,,16594.8585,2019.0,2040.0,0.2525,0.1186,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0015,Packaging Supplier 015,Packaging,2016,21716037.3,128708369.94,,4668.1644,,15901.253,2019.0,2040.0,0.2525,0.1186,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0015,Packaging Supplier 015,Packaging,2017,23771627.95,113094649.24,,4361.9779,,14452.0744,2019.0,2040.0,0.2525,0.1186,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
SUP-0015,Packaging Supplier 015,Packaging,2018,22134503.81,110017974.02,21193.5197,5232.9458,3900.9251,13713.2819,2019.0,2040.0,0.2525,0.1186,2018,2040.0,0.3112,702.4188,0.0010803,0.00078946
