Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Baseline_Year,Target_Year,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Gross_Spend,Revenue,Total_Emission_Value,Emission_Source_Flag,Emissions_Data_Available_Flag,Data_Quality_Flag,Missing_Parameter_Flag,Validation_Flag,Forecast_Year,Forecast_Method_Flag,Baseline_Emission,Target_Emission,Forecast_Emission,Glide_Path_Emission,Absolute_Reduction,Emission_Intensity,Intensity_Reduction,Gap_to_Target,Annual_Reduction_Required,Carbon_Budget_Remaining,Cumulative_Emissions,Confidence_Score,Supplier_Risk_Category,Target_Achievement_Status
SUP-0001,Professional Supplier 001,Professional Services,2024,2021,2040,996.923,170.7065,70.4457,823.8057,14659284.07,38852519.79,996.923,Provided Total Emissions,True,High,None,Valid,2040,Supplier Target Pathway,799.0691,417.1141,417.1141,417.1141,381.955,2.845e-05,0.478,0.0,20.1029,-2412.347,9086.1726,0.99,Low,On Track
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2025,Supplier Target Pathway,523.6637,357.9765,488.7822,488.7822,34.8815,0.00024915,0.066611,130.8057,8.7204,5238.8418,488.7822,0.99,Critical,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2026,Supplier Target Pathway,523.6637,357.9765,480.0618,480.0618,43.6019,0.0002447,0.083263,122.0853,8.7204,4758.78,968.844,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2027,Supplier Target Pathway,523.6637,357.9765,471.3414,471.3414,52.3223,0.00024026,0.099916,113.3649,8.7204,4287.4386,1440.1854,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2028,Supplier Target Pathway,523.6637,357.9765,462.621,462.621,61.0427,0.00023581,0.116568,104.6445,8.7204,3824.8176,1902.8064,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2029,Supplier Target Pathway,523.6637,357.9765,453.9007,453.9007,69.763,0.00023137,0.133221,95.9242,8.7204,3370.9169,2356.7071,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2030,Supplier Target Pathway,523.6637,357.9765,445.1803,445.1803,78.4834,0.00022692,0.149874,87.2038,8.7204,2925.7366,2801.8874,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2031,Supplier Target Pathway,523.6637,357.9765,436.4599,436.4599,87.2038,0.00022248,0.166526,78.4834,8.7204,2489.2767,3238.3473,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2032,Supplier Target Pathway,523.6637,357.9765,427.7395,427.7395,95.9242,0.00021803,0.183179,69.763,8.7204,2061.5372,3666.0868,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2033,Supplier Target Pathway,523.6637,357.9765,419.0192,419.0192,104.6445,0.00021359,0.199832,61.0427,8.7204,1642.518,4085.106,0.99,High,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2034,Supplier Target Pathway,523.6637,357.9765,410.2988,410.2988,113.3649,0.00020914,0.216484,52.3223,8.7204,1232.2192,4495.4048,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2035,Supplier Target Pathway,523.6637,357.9765,401.5784,401.5784,122.0853,0.0002047,0.233137,43.6019,8.7204,830.6408,4896.9832,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2036,Supplier Target Pathway,523.6637,357.9765,392.858,392.858,130.8057,0.00020025,0.249789,34.8815,8.7204,437.7828,5289.8412,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2037,Supplier Target Pathway,523.6637,357.9765,384.1376,384.1376,139.5261,0.00019581,0.266442,26.1611,8.7204,53.6452,5673.9788,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2038,Supplier Target Pathway,523.6637,357.9765,375.4173,375.4173,148.2464,0.00019136,0.283095,17.4408,8.7204,-321.7721,6049.3961,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2039,Supplier Target Pathway,523.6637,357.9765,366.6969,366.6969,156.9668,0.00018692,0.299747,8.7204,8.7204,-688.469,6416.093,0.99,Medium,On Track to Glide Path
SUP-0002,Textiles Supplier 002,Textiles,2024,2021,2040,609.8191,130.8505,61.9081,437.2972,1961826.78,7611105.33,609.8191,Provided Total Emissions,True,High,None,Valid,2040,Supplier Target Pathway,523.6637,357.9765,357.9765,357.9765,165.6872,0.00018247,0.3164,0.0,8.7204,-1046.4455,6774.0695,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2025,Supplier Target Pathway,12549.8807,6849.7249,9224.7898,9224.7898,3325.0909,0.00069732,0.26495,2375.0649,475.013,31873.5596,9224.7898,0.99,High,On Track to Glide Path
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2026,Supplier Target Pathway,12549.8807,6849.7249,8749.7768,8749.7768,3800.1039,0.00066141,0.3028,1900.0519,475.013,23123.7828,17974.5666,0.99,High,On Track to Glide Path
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2027,Supplier Target Pathway,12549.8807,6849.7249,8274.7638,8274.7638,4275.1169,0.00062551,0.34065,1425.039,475.013,14849.019,26249.3304,0.99,High,On Track to Glide Path
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2028,Supplier Target Pathway,12549.8807,6849.7249,7799.7509,7799.7509,4750.1298,0.0005896,0.3785,950.026,475.013,7049.2681,34049.0813,0.99,Medium,On Track to Glide Path
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2029,Supplier Target Pathway,12549.8807,6849.7249,7324.7379,7324.7379,5225.1428,0.00055369,0.41635,475.013,475.013,-275.4698,41373.8192,0.99,Medium,On Track to Glide Path
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2030,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-7125.1947,48223.5441,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2031,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-13974.9196,55073.269,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2032,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-20824.6445,61922.9939,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2033,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-27674.3694,68772.7188,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2034,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-34524.0943,75622.4437,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2035,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-41373.8192,82472.1686,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2036,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-48223.5441,89321.8935,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2037,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-55073.269,96171.6184,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2038,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-61922.9939,103021.3433,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2039,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-68772.7188,109871.0682,0.99,Low,On Track
SUP-0003,Electronics Supplier 003,Electronics,2024,2018,2030,10076.1724,1598.8289,1283.6593,7805.0472,13228903.84,91085503.23,10076.1724,Provided Total Emissions,True,High,None,Valid,2040,Supplier Target Pathway,12549.8807,6849.7249,6849.7249,6849.7249,5700.1558,0.00051778,0.4542,0.0,475.013,-75622.4437,116720.7931,0.99,Low,On Track
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2025,Supplier Target Pathway,1681.5914,694.1609,1434.7338,1434.7338,246.8576,0.00047642,0.1468,740.5729,49.3715,9671.8406,1434.7338,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2026,Supplier Target Pathway,1681.5914,694.1609,1385.3623,1385.3623,296.2291,0.00046003,0.17616,691.2013,49.3715,8286.4783,2820.0961,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2027,Supplier Target Pathway,1681.5914,694.1609,1335.9907,1335.9907,345.6007,0.00044363,0.20552,641.8298,49.3715,6950.4876,4156.0868,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2028,Supplier Target Pathway,1681.5914,694.1609,1286.6192,1286.6192,394.9722,0.00042724,0.23488,592.4583,49.3715,5663.8684,5442.706,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2029,Supplier Target Pathway,1681.5914,694.1609,1237.2477,1237.2477,444.3437,0.00041084,0.26424,543.0868,49.3715,4426.6207,6679.9537,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2030,Supplier Target Pathway,1681.5914,694.1609,1187.8762,1187.8762,493.7152,0.00039445,0.2936,493.7152,49.3715,3238.7445,7867.8299,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2031,Supplier Target Pathway,1681.5914,694.1609,1138.5046,1138.5046,543.0868,0.00037805,0.32296,444.3437,49.3715,2100.2399,9006.3345,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2032,Supplier Target Pathway,1681.5914,694.1609,1089.1331,1089.1331,592.4583,0.00036166,0.35232,394.9722,49.3715,1011.1068,10095.4676,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2033,Supplier Target Pathway,1681.5914,694.1609,1039.7616,1039.7616,641.8298,0.00034527,0.38168,345.6007,49.3715,-28.6548,11135.2292,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2034,Supplier Target Pathway,1681.5914,694.1609,990.3901,990.3901,691.2013,0.00032887,0.41104,296.2291,49.3715,-1019.0449,12125.6193,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2035,Supplier Target Pathway,1681.5914,694.1609,941.0185,941.0185,740.5729,0.00031248,0.4404,246.8576,49.3715,-1960.0634,13066.6378,0.99,Critical,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2036,Supplier Target Pathway,1681.5914,694.1609,891.647,891.647,789.9444,0.00029608,0.46976,197.4861,49.3715,-2851.7104,13958.2848,0.99,High,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2037,Supplier Target Pathway,1681.5914,694.1609,842.2755,842.2755,839.3159,0.00027969,0.49912,148.1146,49.3715,-3693.9859,14800.5603,0.99,High,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2038,Supplier Target Pathway,1681.5914,694.1609,792.904,792.904,888.6874,0.00026329,0.52848,98.743,49.3715,-4486.8899,15593.4643,0.99,Medium,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2039,Supplier Target Pathway,1681.5914,694.1609,743.5325,743.5325,938.0589,0.0002469,0.55784,49.3715,49.3715,-5230.4224,16336.9968,0.99,Medium,On Track to Glide Path
SUP-0004,Agriculture Supplier 004,Agriculture,2024,2020,2040,1450.8271,153.3148,105.5242,1198.7452,3011484.28,23161310.55,1450.8271,Provided Total Emissions,True,High,None,Valid,2040,Supplier Target Pathway,1681.5914,694.1609,694.1609,694.1609,987.4305,0.0002305,0.5872,0.0,49.3715,-5924.5833,17031.1577,0.99,Low,On Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2025,Historical Trend Pathway,1197.6171,1137.7362,2707.0024,1173.6648,-1509.3853,0.00019441,-1.260324,1569.2661,2.3952,15496.7768,2707.0024,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2026,Historical Trend Pathway,1197.6171,1137.7362,2914.2313,1171.2695,-1716.6142,0.00020929,-1.433358,1776.495,2.3952,12582.5455,5621.2337,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2027,Historical Trend Pathway,1197.6171,1137.7362,3137.3241,1168.8743,-1939.707,0.00022532,-1.619639,1999.5879,2.3952,9445.2214,8758.5578,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2028,Historical Trend Pathway,1197.6171,1137.7362,3377.4954,1166.4791,-2179.8783,0.00024257,-1.82018,2239.7591,2.3952,6067.726,12136.0532,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2029,Historical Trend Pathway,1197.6171,1137.7362,3636.0525,1164.0838,-2438.4354,0.00026113,-2.036073,2498.3162,2.3952,2431.6735,15772.1057,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2030,Historical Trend Pathway,1197.6171,1137.7362,3914.4028,1161.6886,-2716.7857,0.00028112,-2.268493,2776.6666,2.3952,-1482.7293,19686.5085,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2031,Historical Trend Pathway,1197.6171,1137.7362,4214.0617,1159.2934,-3016.4446,0.00030265,-2.518705,3076.3255,2.3952,-5696.791,23900.5702,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2032,Historical Trend Pathway,1197.6171,1137.7362,4536.6603,1156.8981,-3339.0432,0.00032581,-2.788072,3398.9241,2.3952,-10233.4513,28437.2305,0.88,Critical,Off Track
SUP-0005,Professional Supplier 005,Professional Services,2024,2015,2040,2514.5094,358.4463,434.7338,1680.3886,13924074.52,42364209.75,2514.5094,Provided Total Emissions,True,High,None,Valid,2033,Historical Trend Pathway,1197.6171,1137.7362,4883.9548,1154.5029,-3686.3377,0.00035076,-3.07806,3746.2186,2.3952,-15117.4061,33321.1853,0.88,Critical,Off Track
