Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Year,Gross_Spend,Revenue,Reported_Emissions,Scope1_Emission,Scope2_Emission,Scope3_Emission,Baseline_Year,Target_Year,Target_Reduction_Percentage,Interim_Target_Reduction_Percentage,Industry_Baseline_Year,Industry_Target_Year,Industry_Reduction_Percentage,Industry_Emission_Factor,Spend_Based_Emission_Factor,Revenue_Based_Emission_Intensity,Total_Emission_Value,Emission_Source_Flag,Emissions_Data_Available_Flag,Spend_Based_Emission,Revenue_Based_Emission,Spend_Based_vs_Actual,Revenue_Based_vs_Actual,Spend_Based_Variance_Percentage,Revenue_Based_Variance_Percentage,Data_Quality_Flag,Missing_Parameter_Flag,Base_Confidence_Score,Validation_Flag
SUP-0003,Electronics Supplier 003,Electronics,2017,10796082.02,62471010.23,11732.3983,2864.7932,2165.3717,7037.7831,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,11732.3983,Provided Total Emissions,True,9295.9664,8712.8318,-2436.4319,-3019.5665,-0.207667,-0.25737,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2018,10887250.84,71839497.98,12549.8807,1057.6605,2847.3924,8698.4093,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,12549.8807,Provided Total Emissions,True,9374.4673,10019.4548,-3175.4134,-2530.4259,-0.253023,-0.201629,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2019,14555246.06,76450343.89,12156.8405,2373.4495,2589.4371,7099.9158,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,12156.8405,Provided Total Emissions,True,12532.7946,10662.5295,375.9541,-1494.311,0.030925,-0.122919,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2020,12369884.6,74795000.51,8004.9401,2134.5305,813.4703,5200.4394,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,8004.9401,Provided Total Emissions,True,10651.0891,10431.6587,2646.149,2426.7186,0.330565,0.303153,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2021,11161092.71,78096888.22,7991.1847,1105.7544,593.8429,6937.0956,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,7991.1847,Provided Total Emissions,True,9610.2589,10892.173,1619.0742,2900.9883,0.202608,0.363024,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2022,12966415.32,59928624.34,9800.5187,2691.3298,2023.6517,5343.6376,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,9800.5187,Provided Total Emissions,True,11164.7319,8358.2452,1364.2132,-1442.2735,0.139198,-0.147163,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2023,14814677.09,80965223.6,7871.8427,1952.8787,1249.3878,4725.7116,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,7871.8427,Provided Total Emissions,True,12756.1777,11292.2197,4884.335,3420.377,0.620482,0.434508,High,None,0.95,Valid
SUP-0003,Electronics Supplier 003,Electronics,2024,13228903.84,91085503.23,10076.1724,1598.8289,1283.6593,7805.0472,2018.0,2030.0,0.4542,0.214,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,10076.1724,Provided Total Emissions,True,11390.7477,12703.6951,1314.5753,2627.5227,0.130464,0.260766,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2015,3248283.06,24238178.76,1855.6969,464.7769,399.9877,1215.0983,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1855.6969,Provided Total Emissions,True,2969.353,23489.9462,1113.6561,21634.2493,0.600128,11.658288,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2016,2935030.81,23259957.01,1748.1843,318.2508,244.3842,1173.4049,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1748.1843,Provided Total Emissions,True,2682.9997,22541.9221,934.8154,20793.7378,0.534735,11.894477,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2017,3272591.36,25990862.4,2469.054,259.6962,353.9369,1812.2557,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,2469.054,Provided Total Emissions,True,2991.5739,25188.5245,522.5199,22719.4705,0.211628,9.20169,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2018,3389213.35,24860123.58,1925.4376,364.5507,298.3637,1584.3977,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1925.4376,Provided Total Emissions,True,3098.1816,24092.6916,1172.744,22167.254,0.609079,11.512839,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2019,3284894.83,21806293.22,1595.1515,139.2399,192.2808,1248.0126,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1595.1515,Provided Total Emissions,True,3002.8209,21133.1329,1407.6694,19537.9814,0.882468,12.248355,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2020,3209136.19,24639303.36,1681.5914,134.0797,359.4707,1209.118,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1681.5914,Provided Total Emissions,True,2933.5677,23878.6881,1251.9763,22197.0967,0.744519,13.200054,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2021,3154363.1,23708763.23,1746.0112,254.928,298.5227,1116.9592,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1746.0112,Provided Total Emissions,True,2883.4979,22976.8737,1137.4867,21230.8625,0.651477,12.159637,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2022,2796674.77,26084925.33,1443.3948,351.3276,98.7596,998.1058,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1443.3948,Provided Total Emissions,True,2556.5243,25279.6837,1113.1295,23836.2889,0.771189,16.514047,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2023,3570305.46,32337727.18,1971.8728,313.6885,287.178,1321.3631,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1971.8728,Provided Total Emissions,True,3263.7233,31339.4615,1291.8505,29367.5887,0.655139,14.893247,High,None,0.95,Valid
SUP-0004,Agriculture Supplier 004,Agriculture,2024,3011484.28,23161310.55,1450.8271,153.3148,105.5242,1198.7452,2020.0,2040.0,0.5872,0.3238,2018,,,529.8294,0.00091413,0.00096913,1450.8271,Provided Total Emissions,True,2752.8881,22446.3209,1302.061,20995.4938,0.897461,14.471396,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2015,8299184.74,20458486.28,1197.6171,180.4901,222.3723,926.24,,,,,2020,,,400.0326,0.00012906,0.00019658,1197.6171,Provided Total Emissions,True,1071.0928,4021.7292,-126.5243,2824.1121,-0.105647,2.358109,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2016,7323161.93,22624314.0,1169.5428,173.2119,254.4095,775.4459,,,,,2020,,,400.0326,0.00012906,0.00019658,1169.5428,Provided Total Emissions,True,945.1273,4447.4876,-224.4155,3277.9448,-0.191883,2.802757,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2017,10271328.08,23091198.31,1771.975,471.7758,208.1619,1168.9986,,,,,2020,,,400.0326,0.00012906,0.00019658,1771.975,Provided Total Emissions,True,1325.6176,4539.2678,-446.3574,2767.2928,-0.251898,1.5617,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2018,9778368.06,26622380.12,1319.2567,382.4871,251.0158,816.9723,,,,,2020,,,400.0326,0.00012906,0.00019658,1319.2567,Provided Total Emissions,True,1261.9962,5233.4275,-57.2605,3914.1708,-0.043404,2.966952,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2019,11098051.17,32622907.78,1757.8138,371.3183,223.5141,1263.4087,,,,,2020,,,400.0326,0.00012906,0.00019658,1757.8138,Provided Total Emissions,True,1432.3145,6413.0112,-325.4993,4655.1974,-0.185173,2.648288,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2020,10760799.46,31894910.8,1938.4515,209.3714,367.4339,1357.2159,,,,,2020,,,400.0326,0.00012906,0.00019658,1938.4515,Provided Total Emissions,True,1388.7888,6269.9016,-549.6627,4331.4501,-0.283558,2.23449,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2021,13965651.18,43319160.51,2065.1932,565.2486,148.1754,1344.5044,,,,,2020,,,400.0326,0.00012906,0.00019658,2065.1932,Provided Total Emissions,True,1802.4069,8515.6806,-262.7863,6450.4874,-0.127245,3.12343,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2022,12041826.56,28736377.98,1990.5615,336.7648,310.4892,1411.8684,,,,,2020,,,400.0326,0.00012906,0.00019658,1990.5615,Provided Total Emissions,True,1554.1181,5648.9972,-436.4434,3658.4357,-0.219256,1.837891,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2023,16390199.55,47439491.98,2738.4791,419.0667,390.0898,2101.7651,,,,,2020,,,400.0326,0.00012906,0.00019658,2738.4791,Provided Total Emissions,True,2115.3192,9325.6553,-623.1599,6587.1762,-0.227557,2.405414,High,None,0.95,Valid
SUP-0005,Professional Supplier 005,Professional Services,2024,13924074.52,42364209.75,2514.5094,358.4463,434.7338,1680.3886,,,,,2020,,,400.0326,0.00012906,0.00019658,2514.5094,Provided Total Emissions,True,1797.0411,8327.9564,-717.4683,5813.447,-0.285331,2.311961,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2015,22000328.94,37709605.66,13835.4074,1383.2229,2474.9302,11224.0567,,,,,2018,,,529.8294,0.00091413,0.00096913,13835.4074,Provided Total Emissions,True,20111.1607,36545.5101,6275.7533,22710.1027,0.453601,1.641448,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2016,22265353.89,38842341.44,18443.2783,2935.5479,3286.9499,12194.4996,,,,,2018,,,529.8294,0.00091413,0.00096913,18443.2783,Provided Total Emissions,True,20353.428,37643.2784,1910.1497,19200.0001,0.103569,1.04103,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2017,19154362.77,37331410.04,13319.2487,2987.8117,999.2521,9105.3121,,,,,2018,,,529.8294,0.00091413,0.00096913,13319.2487,Provided Total Emissions,True,17509.5776,36178.9894,4190.3289,22859.7407,0.314607,1.716294,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2018,26192695.78,47430128.29,16554.2419,2979.0625,2251.5248,11501.4661,,,,,2018,,,529.8294,0.00091413,0.00096913,16554.2419,Provided Total Emissions,True,23943.529,45965.9602,7389.2871,29411.7183,0.446368,1.776688,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2019,24417292.17,42615624.82,14239.3504,2998.755,2256.3318,9398.4638,,,,,2018,,,529.8294,0.00091413,0.00096913,14239.3504,Provided Total Emissions,True,22320.5793,41300.0805,8081.2289,27060.7301,0.567528,1.900419,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2020,22035056.84,44130055.91,14326.947,3188.7712,2721.3067,8208.2345,,,,,2018,,,529.8294,0.00091413,0.00096913,14326.947,Provided Total Emissions,True,20142.9065,42767.7611,5815.9595,28440.8141,0.405945,1.985127,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2021,28729052.19,41079496.59,22455.4527,1794.2627,2145.2376,18992.3269,,,,,2018,,,529.8294,0.00091413,0.00096913,22455.4527,Provided Total Emissions,True,26262.0885,39811.3725,3806.6358,17355.9198,0.169519,0.772904,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2022,30047547.05,62389889.68,23043.8068,2851.4669,3596.1378,18178.1685,,,,,2018,,,529.8294,0.00091413,0.00096913,23043.8068,Provided Total Emissions,True,27467.3642,60463.9138,4423.5574,37420.107,0.191963,1.623868,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2023,27635058.41,47949045.65,20405.9294,4974.3319,2184.5332,13718.0898,,,,,2018,,,529.8294,0.00091413,0.00096913,20405.9294,Provided Total Emissions,True,25262.0359,46468.8586,4856.1065,26062.9292,0.237975,1.277223,High,None,0.95,Valid
SUP-0006,Agriculture Supplier 006,Agriculture,2024,28569472.27,64789530.0,20436.7272,1834.7707,1396.9006,15397.2718,,,,,2018,,,529.8294,0.00091413,0.00096913,20436.7272,Provided Total Emissions,True,26116.2117,62789.4772,5679.4845,42352.75,0.277906,2.072384,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2015,19995092.71,120617779.88,23182.7697,5334.4184,1925.7557,15406.277,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,23182.7697,Provided Total Emissions,True,20024.8854,56839.9226,-3157.8843,33657.1529,-0.136217,1.451818,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2016,20630325.86,146171163.57,24935.9606,2336.9043,4993.2744,16505.9142,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,24935.9606,Provided Total Emissions,True,20661.065,68881.6991,-4274.8956,43945.7385,-0.171435,1.762344,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2017,21691524.2,125919887.15,22439.4559,3524.0297,2981.3683,16836.1163,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,22439.4559,Provided Total Emissions,True,21723.8446,59338.4876,-715.6113,36899.0317,-0.031891,1.644382,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2018,25955331.66,162091933.12,34303.111,3902.6275,6183.1368,24113.155,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,34303.111,Provided Total Emissions,True,25994.0051,76384.2026,-8309.1059,42081.0916,-0.242226,1.226743,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2019,24849723.88,194432607.95,28820.1528,6593.8254,1999.3427,21453.7198,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,28820.1528,Provided Total Emissions,True,24886.75,91624.4222,-3933.4028,62804.2694,-0.136481,2.179179,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2020,27624847.37,234168347.25,32114.4623,2554.9954,5386.718,24133.6386,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,32114.4623,Provided Total Emissions,True,27666.0084,110349.492,-4448.4539,78235.0297,-0.138519,2.436131,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2021,28262114.56,225133941.84,39637.9162,7472.9496,4003.0989,25846.239,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,39637.9162,Provided Total Emissions,True,28304.2251,106092.1188,-11333.6911,66454.2026,-0.285931,1.676531,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2022,30107576.95,247887481.19,28927.8767,5447.4423,5966.9615,17948.5245,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,28927.8767,Provided Total Emissions,True,30152.4372,116814.4966,1224.5605,87886.6199,0.042332,3.038129,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2023,34544558.59,212344917.76,26732.4761,4377.8896,2021.8906,20042.7884,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,26732.4761,Provided Total Emissions,True,34596.03,100065.419,7863.5539,73332.9429,0.294157,2.743216,High,None,0.95,Valid
SUP-0007,Chemicals Supplier 007,Chemicals,2024,40236055.73,391577893.99,38148.1199,8103.1886,3254.2091,25070.6768,2019.0,2030.0,0.5673,0.2314,2019,2035.0,0.5229,506.3191,0.00100149,0.00047124,38148.1199,Provided Total Emissions,True,40296.0075,184527.1668,2147.8876,146379.0469,0.056304,3.837123,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2015,10624481.24,60069851.45,7692.1155,1902.3197,1708.1663,4549.5684,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,7692.1155,Provided Total Emissions,True,9148.2096,8377.9422,1456.0941,685.8267,0.189297,0.08916,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2016,11862504.75,56349929.7,7808.3116,2207.2186,1636.7816,4092.6678,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,7808.3116,Provided Total Emissions,True,10214.2097,7859.1247,2405.8981,50.8131,0.30812,0.006508,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2017,11827144.76,46870852.57,8592.1688,2119.3457,725.9315,5728.2689,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,8592.1688,Provided Total Emissions,True,10183.763,6537.0778,1591.5942,-2055.091,0.185238,-0.239182,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2018,11986808.2,43626550.43,9649.1625,1058.2974,1022.0185,7483.9018,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,9649.1625,Provided Total Emissions,True,10321.2412,6084.595,672.0787,-3564.5675,0.069652,-0.369417,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2019,11751172.52,49726885.47,7042.4943,712.5672,1252.4349,4744.897,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,7042.4943,Provided Total Emissions,True,10118.3471,6935.4087,3075.8528,-107.0856,0.436756,-0.015206,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2020,8380077.54,57275326.51,5534.716,907.8883,681.6273,4207.5174,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,5534.716,Provided Total Emissions,True,7215.6658,7988.1898,1680.9498,2453.4738,0.30371,0.443288,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2021,11998429.8,46173492.57,8338.796,1090.1023,1899.408,5957.6603,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,8338.796,Provided Total Emissions,True,10331.248,6439.817,1992.452,-1898.979,0.238938,-0.227728,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2022,10313656.57,59237767.14,6895.9299,810.4514,1040.0913,4931.4945,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,6895.9299,Provided Total Emissions,True,8880.574,8261.8914,1984.6441,1365.9615,0.287799,0.198082,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2023,12311517.55,41003568.29,9857.748,1571.3756,755.4136,7862.9255,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,9857.748,Provided Total Emissions,True,10600.8322,5718.7677,743.0842,-4138.9803,0.075381,-0.419871,High,None,0.95,Valid
SUP-0008,Electronics Supplier 008,Electronics,2024,10136751.16,51404567.9,8452.0805,1771.538,1414.0394,5202.7566,,,,,2018,2040.0,0.3424,635.1588,0.00086105,0.00013947,8452.0805,Provided Total Emissions,True,8728.2496,7169.3951,276.1691,-1282.6854,0.032675,-0.15176,High,None,0.95,Valid
