Supplier_ID,Supplier_Name,Supplier_Industry,Supplier_Country,Preferred_Supplier_Flag,Supplier_Status
SUP-0043,Logistics Supplier 043,Logistics,US,False,Active
SUP-0044,Chemicals Supplier 044,Chemicals,UK,False,Active
SUP-0045,Logistics Supplier 045,Logistics,JP,True,Active
SUP-0046,Textiles Supplier 046,Textiles,IN,False,Active
SUP-0047,Packaging Supplier 047,Packaging,US,True,Watchlist
SUP-0048,Logistics Supplier 048,Logistics,JP,False,Strategic
SUP-0049,Logistics Supplier 049,Logistics,JP,True,Active
SUP-0050,Electronics Supplier 050,Electronics,UK,False,Active
SUP-0051,Textiles Supplier 051,Textiles,US,False,Active
SUP-0052,Electronics Supplier 052,Electronics,JP,True,Active
SUP-0053,Electronics Supplier 053,Electronics,UK,True,Active
SUP-0054,Chemicals Supplier 054,Chemicals,BR,False,Active
SUP-0055,Chemicals Supplier 055,Chemicals,IN,False,Watchlist
SUP-0056,Metals Supplier 056,Metals,BR,True,Active
SUP-0057,Logistics Supplier 057,Logistics,DE,True,Active
SUP-0058,Textiles Supplier 058,Textiles,US,True,Active
SUP-0059,Agriculture Supplier 059,Agriculture,BR,True,Strategic
SUP-0060,Electronics Supplier 060,Electronics,MX,False,Active
SUP-0061,Metals Supplier 061,Metals,US,False,Active
SUP-0062,Textiles Supplier 062,Textiles,IN,True,Active
SUP-0063,Chemicals Supplier 063,Chemicals,JP,True,Strategic
SUP-0064,Metals Supplier 064,Metals,US,False,Active
SUP-0065,Agriculture Supplier 065,Agriculture,US,True,Active
SUP-0066,Electronics Supplier 066,Electronics,JP,False,Watchlist
SUP-0067,Professional Supplier 067,Professional Services,UK,True,Strategic
SUP-0068,Agriculture Supplier 068,Agriculture,US,True,Strategic
SUP-0069,Chemicals Supplier 069,Chemicals,UK,True,Active
SUP-0070,Agriculture Supplier 070,Agriculture,BR,False,Active
SUP-0071,Chemicals Supplier 071,Chemicals,CN,True,Active
SUP-0072,Electronics Supplier 072,Electronics,MX,False,Active
SUP-0073,Packaging Supplier 073,Packaging,DE,True,Active
SUP-0074,Agriculture Supplier 074,Agriculture,UK,True,Active
SUP-0075,Metals Supplier 075,Metals,BR,True,Strategic
SUP-0076,Chemicals Supplier 076,Chemicals,IN,True,Strategic
SUP-0077,Packaging Supplier 077,Packaging,DE,True,Active
SUP-0078,Metals Supplier 078,Metals,US,True,Active
SUP-0079,Logistics Supplier 079,Logistics,DE,True,Active
SUP-0080,Packaging Supplier 080,Packaging,MX,True,Active
SUP-0081,Textiles Supplier 081,Textiles,BR,False,Strategic
SUP-0082,Packaging Supplier 082,Packaging,US,True,Active
SUP-0083,Logistics Supplier 083,Logistics,DE,False,Active
SUP-0084,Chemicals Supplier 084,Chemicals,US,True,Active
SUP-0085,Textiles Supplier 085,Textiles,US,False,Active
SUP-0086,Metals Supplier 086,Metals,JP,True,Strategic
SUP-0087,Agriculture Supplier 087,Agriculture,JP,False,Strategic
SUP-0088,Packaging Supplier 088,Packaging,UK,False,Strategic
SUP-0089,Professional Supplier 089,Professional Services,DE,True,Active
SUP-0090,Textiles Supplier 090,Textiles,UK,True,Active
SUP-0091,Professional Supplier 091,Professional Services,MX,True,Active
SUP-0092,Metals Supplier 092,Metals,CN,True,Active
SUP-0093,Chemicals Supplier 093,Chemicals,IN,True,Active
SUP-0094,Metals Supplier 094,Metals,CN,False,Active
SUP-0095,Agriculture Supplier 095,Agriculture,JP,False,Active
SUP-0096,Agriculture Supplier 096,Agriculture,IN,True,Strategic
SUP-0097,Metals Supplier 097,Metals,MX,False,Active
SUP-0098,Agriculture Supplier 098,Agriculture,MX,True,Active
SUP-0099,Electronics Supplier 099,Electronics,DE,False,Strategic
SUP-0100,Textiles Supplier 100,Textiles,DE,False,Active
